Date,MKT,SMB,HML,MOM,RF
20161222,-0.3,-0.75,0.24,0.27,0.001
20161223,0.19,0.56,-0.51,-0.42,0.001
20161227,0.27,0.21,0.13,0.27,0.001
20161228,-0.87,-0.27,0.09,-0.15,0.001
20161229,-0.04,0.13,-0.31,0.08,0.001
20161230,-0.52,-0.1,0.21,-0.3,0.001
20170103,0.83,-0.11,0.08,-0.61,0.002
20170104,0.79,0.95,-0.15,-0.39,0.002
20170105,-0.21,-0.87,-0.8,-0.65,0.002
20170106,0.29,-0.62,-0.31,-0.2,0.002
20170109,-0.37,-0.27,-1.04,-0.37,0.002
20170110,0.16,0.97,0.56,0.71,0.002
20170111,0.31,-0.31,0.53,0.76,0.002
20170112,-0.3,-0.58,-0.88,-0.53,0.002
20170113,0.29,0.63,-0.08,0.16,0.002
20170117,-0.49,-0.86,-0.59,-0.89,0.002
20170118,0.24,0.17,0.23,0.51,0.002
20170119,-0.38,-0.5,-0.03,0.35,0.002
20170120,0.33,0.06,0.18,0.19,0.002
20170123,-0.29,-0.02,-0.3,0.09,0.002
20170124,0.83,0.67,0.8,1.15,0.002
20170125,0.84,0.15,0.35,0.49,0.002
20170126,-0.1,-0.62,0.38,0.52,0.002
20170127,-0.12,0.03,-0.66,0.02,0.002
20170130,-0.68,-0.72,-0.42,-0.69,0.002
20170131,0,0.88,-0.55,-0.71,0.002
20170201,0.04,-0.05,0.03,0.44,0.002
20170202,-0.02,-0.26,-0.31,-0.52,0.002
20170203,0.82,0.54,0.64,0.82,0.002
20170206,-0.27,-0.57,-0.2,-0.28,0.002
20170207,-0.01,-0.3,-0.52,-0.26,0.002
