Date,Volume,Close,Average
25/08/17,6186900,102.410004,102.125
28/08/17,5630400,102.559998,102.465
29/08/17,6011700,102.57,102.404999
30/08/17,6573200,102.870003,102.965
31/08/17,9823800,101.199997,102.095001
01/09/17,7827400,101.5,101.6399995
05/09/17,9346100,101.599998,101.7250025
06/09/17,7531000,101.5,101.465
07/09/17,26419400,97.059998,99.029999
08/09/17,13147700,97.07,96.875
11/09/17,9610300,97.089996,97.489998
12/09/17,9151700,97.889999,97.744999
13/09/17,7615300,98.82,98.484997
14/09/17,9710000,97.900002,98.1899985
15/09/17,23870300,98.519997,98.465
18/09/17,7013600,98.099998,98.220001
19/09/17,6970300,98.43,98.375
20/09/17,6459100,99.209999,98.950001
21/09/17,4958000,98.889999,99.0699995
22/09/17,6359100,98.599998,98.7599985
25/09/17,7492500,99.57,99.035
26/09/17,6220500,98.629997,99.1749995
27/09/17,7596600,99.239998,98.774998
28/09/17,7149600,98.050003,98.5250015
29/09/17,8185900,98.57,98.125
02/10/17,6923300,99.860001,99.7750015
03/10/17,5447700,100.790001,100.380001
04/10/17,5126100,100.550003,100.5649985
05/10/17,4736700,100.110001,100.445
06/10/17,4360200,100.07,99.8049965
09/10/17,5429600,99.57,100.215
10/10/17,7704400,99.580002,99.365002
11/10/17,7984000,98.550003,98.8150025
12/10/17,11018200,96.93,97.314999
13/10/17,6858000,97.379997,97.2400015
16/10/17,4911600,98.129997,97.904999
17/10/17,5942500,98.360001,98.165001
18/10/17,5404300,98.25,98.0200005
19/10/17,5634300,99.010002,98.705002
20/10/17,5938700,99.400002,99.300003
23/10/17,5888200,98.699997,98.9049985
24/10/17,4966200,98.290001,98.4599995
25/10/17,5144400,97.800003,97.834999
26/10/17,6167500,98.559998,98.3650015
27/10/17,7868700,98.309998,97.625
30/10/17,7093200,98.040001,98.0149995
31/10/17,5701700,97.809998,97.7349965
01/11/17,6920400,99.029999,98.7299995
02/11/17,6799200,98.349998,98.57
03/11/17,5416900,98.639999,98.6399995
06/11/17,14728700,100.639999,99.7399975
07/11/17,12177500,101.610001,101.82
08/11/17,8023200,101.18,101.209999
09/11/17,13172500,102.68,102.3550035
10/11/17,16701500,104.779999,105.16
13/11/17,7856000,104.739998,104.560001
14/11/17,6929300,103.169998,103.785
15/11/17,5691500,103.690002,103.204998
16/11/17,6410900,103.599998,103.3700025
17/11/17,7500800,103.440002,103.4799995
20/11/17,5112600,102.75,103.0599975
21/11/17,5725900,103,102.9799995
22/11/17,4140700,102.739998,103.005001
24/11/17,2217600,102.639999,102.6849975
27/11/17,4007500,102.790001,102.674999
28/11/17,8401100,103.410004,103.0249975
29/11/17,14503100,105.239998,104.845001
30/11/17,9949000,104.82,105.09
01/12/17,9258400,105.25,104.8600005
04/12/17,17824000,110.220001,109.584999
05/12/17,13055600,107.220001,108.279999
06/12/17,8121700,105.459999,106.6749995
07/12/17,9948600,105.260002,105.244999
08/12/17,6536600,104.230003,104.5300025
11/12/17,7434000,106.830002,105.8049965
12/12/17,8147000,107.43,107.209999
13/12/17,10368300,107.610001,107.470001
14/12/17,27571300,110.57,109.369999
15/12/17,19978600,111.269997,111.299999
18/12/17,12270000,111.029999,111.149998
19/12/17,10546600,111.809998,111.579998
20/12/17,8661100,109.690002,110.9950025
21/12/17,9372800,109.57,110.139999
22/12/17,7378400,108.669998,109.0699995
26/12/17,3982400,108.120003,108.630001
27/12/17,5624000,107.639999,108.005001
28/12/17,3477700,107.769997,107.5550005
29/12/17,4538400,107.510002,107.924999
02/01/18,11014300,111.800003,110.184998
03/01/18,9237900,112.279999,112.3199995
04/01/18,7417400,112.230003,112.3149985
05/01/18,6008300,111.620003,111.959999
08/01/18,8052600,110.019997,110.41
09/01/18,5838000,109.940002,110.360001
10/01/18,6060000,109.470001,109.755001
11/01/18,6427000,110.989998,110.295002
12/01/18,5899900,112.470001,111.8600005
16/01/18,8069200,110.690002,111.8900035
17/01/18,7030700,111.970001,111.3899995
18/01/18,8070900,110.419998,111.0949975
19/01/18,10514300,110.589996,110.464996
22/01/18,8073600,111.099998,110.809998
23/01/18,7477300,110.410004,110.514999
24/01/18,7211800,110.5,110.8600005
25/01/18,6291000,110.550003,110.9700015
26/01/18,7743800,112.190002,111.5999985
29/01/18,6847800,111.540001,111.8449975
30/01/18,8393900,110.110001,111.259998
31/01/18,9841400,108.669998,109.295002
01/02/18,9518900,110.489998,109.0050015
02/02/18,9947700,108.699997,109.5149995
05/02/18,15107900,104.699997,106.3199995
06/02/18,17765100,106.169998,103.9799995
07/02/18,12445000,104.760002,106.2200015
08/02/18,12667500,101.349998,103.505001
09/02/18,12479700,103.089996,102.005001
12/02/18,9584700,103.389999,103.3699985
13/02/18,8447900,104.120003,103.355
14/02/18,7425700,104.599998,103.725002
15/02/18,6494700,105.18,104.75
16/02/18,8746400,106.529999,106.27
20/02/18,6734500,105.980003,106.5449985
21/02/18,6743300,105.050003,105.9650005
22/02/18,4462200,105.239998,105.470001
23/02/18,6101100,107.25,106.3950005
26/02/18,8138200,109.809998,108.739998
27/02/18,14179600,104.870003,106.505001
28/02/18,10760800,103.160004,104.3549995
01/03/18,10487300,102.57,102.6800005
02/03/18,7835400,102.989998,102.305
05/03/18,5736700,103.410004,103.1949995
06/03/18,6216200,104.940002,104.2299995
07/03/18,6214800,103.589996,103.5049975
08/03/18,6627000,104.029999,104.0299985
09/03/18,5618400,104.730003,104.1949995
12/03/18,6485300,105.169998,105.3300015
13/03/18,6716700,103.730003,104.625
14/03/18,6235900,103.900002,104.0600015
15/03/18,5174600,103.239998,103.7649995
16/03/18,10468000,102.870003,103.5549965
19/03/18,6528300,101.480003,101.9749985
20/03/18,8330300,101.349998,101.450001
21/03/18,6136400,101.82,102.18
22/03/18,8911600,100.599998,101.0250015
23/03/18,7505100,98.540001,99.779999
26/03/18,7340100,100.650002,99.9300005
27/03/18,7193500,99.360001,100.0349995
28/03/18,9099700,98.540001,99.115002
29/03/18,9343600,100.440002,100.07
02/04/18,8203700,98.660004,99.3849985
03/04/18,8484700,99.419998,98.5949975
04/04/18,8759200,100.949997,99.455002
05/04/18,6612800,102.110001,101.68
06/04/18,7162400,100.349998,100.8199995
09/04/18,7094300,99.699997,100.545002
10/04/18,8116800,101.370003,100.9249995
11/04/18,6305000,100.800003,101.030003
12/04/18,7337800,100.389999,100.595001
13/04/18,6324600,100.349998,100.8400005
16/04/18,10328000,100.239998,100.3650015
17/04/18,9577400,102.169998,101.669998
18/04/18,5822100,101.209999,101.954998
19/04/18,6803400,100.889999,100.9000015
20/04/18,6396900,100.239998,100.655003
23/04/18,5889800,100.150002,100.125
24/04/18,6567700,99.459999,99.8549995
25/04/18,8977700,101.150002,100.2700005
26/04/18,8038400,99.839996,100.5599975
27/04/18,8038000,99.230003,99.465
30/04/18,8558900,100.330002,100.745003
01/05/18,6716200,100.059998,99.8149985
02/05/18,9286400,99.620003,99.9850005
03/05/18,10450800,98.760002,98.465
04/05/18,9980100,101.150002,99.965
